perc_premium_paid_by_cash_credit,age_in_days,Income,Count_3-6_months_late,Count_6-12_months_late,Count_more_than_12_months_late,application_underwriting_score,no_of_premiums_paid,sourcing_channel,residence_area_type,premium,target,name,age,income,occupation,insurance,Occupation_Type,unique_id
0.027,13512,270140,0.0,0.0,0.0,99.05,9,B,Rural,13800,1,Karen Harrison,20,297053,Shopkeeper,Starlite Basic,Other,02867709193
0.957,10590,33030,0.0,0.0,1.0,99.11,8,C,Rural,5700,1,Laura Harris,38,567189,Software Engineer,Starlite Basic,White Collar,10381204617
0.39,14980,257380,0.0,0.0,0.0,99.16,10,C,Urban,18000,1,Rebecca Cain,31,190708,Nurse,MaxBupa Silver,Other,07663003128
0.017,16071,228930,0.0,0.0,0.0,99.84,11,A,Urban,22200,1,David Harrell,19,174450,Nurse,Starlite Basic,Other,02451309795
0.011,31770,61730,0.0,0.0,0.0,99.88,9,A,Rural,1200,1,Jared Reed,37,573988,Software Engineer,Starlite Premium,White Collar,10165303979
1.0,37602,48130,0.0,0.0,0.0,,5,A,Rural,1200,1,Katherine Hunter,33,417847,Software Engineer,Starlite Basic,White Collar,11131909924
1.0,37602,48130,0.0,0.0,0.0,,5,A,Rural,1200,1,Elizabeth Reynolds,25,195576,Shopkeeper,MaxBupa Gold,Other,11131908317
0.867,10228,166310,0.0,0.0,0.0,99.48,6,A,Rural,7500,1,Nathaniel Stewart,23,131297,Nurse,Starlite Basic,Other,00571704393
0.121,21914,225150,0.0,0.0,0.0,99.34,8,A,Urban,11700,1,Brenda Richardson,62,280557,Driver,Starlite Basic,Blue Collar,07570001287
0.502,10590,210060,1.0,0.0,1.0,99.36,19,B,Rural,11700,1,Dustin Lewis,64,132141,Nurse,Starlite Basic,Other,05044504355
0.772,8044,39060,0.0,0.0,0.0,99.86,3,A,Rural,3300,1,Jerry Walker,31,183483,Shopkeeper,Starlite Basic,Other,00500307013
1.0,16801,56510,,,,,2,B,Urban,1200,1,Michael Thompson,30,433162,Teacher,MaxBupa Silver,White Collar,08135003885
0.322,10234,300080,0.0,0.0,0.0,99.2,15,C,Rural,11700,1,Kenneth Webster,52,220126,Nurse,MaxBupa Gold,Other,01995605749
0.004,31769,60030,0.0,0.0,0.0,99.61,6,A,Urban,5400,1,Jennifer Hunt,59,286856,Teacher,MaxBupa Gold,White Collar,04027409169
0.895,11326,131770,0.0,0.0,0.0,99.56,4,B,Urban,7500,1,Mrs. Kaylee Butler,20,192094,Driver,MaxBupa Silver,Blue Collar,09164802407
0.106,30673,37040,1.0,0.0,0.0,99.24,9,A,Urban,1200,1,Justin Brooks,52,385110,Software Engineer,MaxBupa Gold,White Collar,05759202013
0.194,10593,188430,0.0,0.0,0.0,98.32,16,A,Rural,13800,1,Devon Jordan,31,301583,Construction Worker,Starlite Basic,Blue Collar,04127005153
0.23,16796,259610,0.0,0.0,0.0,99.03,16,C,Urban,11700,1,Elizabeth Stokes,41,229187,Farmer,Starlite Basic,Blue Collar,05886208551
0.361,23373,365940,0.0,0.0,0.0,99.51,16,B,Rural,3300,1,Michelle Ruiz,54,646440,Doctor,Starlite Basic,White Collar,05699304376
0.0,30671,40290,0.0,0.0,0.0,,6,A,Rural,3300,1,Matthew Archer,60,436743,Teacher,MaxBupa Gold,White Collar,06728908822
1.0,18627,250020,1.0,2.0,0.0,,2,A,Rural,15900,1,Ricky Miller,27,143755,Farmer,MaxBupa Gold,Blue Collar,08417904273
0.05,18629,180150,0.0,0.0,0.0,99.38,14,C,Urban,9600,1,Marc Coleman,49,333607,Construction Worker,Starlite Basic,Blue Collar,04582405825
0.613,13510,159050,1.0,0.0,0.0,99.24,6,B,Rural,3300,1,Kimberly Smith,49,325825,Driver,MaxBupa Gold,Blue Collar,08729606699
0.034,31040,53230,0.0,0.0,0.0,99.77,20,A,Urban,3300,1,Mrs. Chelsey Howard,49,804136,Doctor,MaxBupa Silver,White Collar,07329207243
0.001,32127,123140,0.0,0.0,0.0,,4,A,Urban,9600,1,Joshua Arnold,59,331821,Software Engineer,MaxBupa Silver,White Collar,08018800449
0.928,18624,99520,1.0,1.0,0.0,99.37,6,B,Urban,5400,1,Dr. Joshua Obrien II,45,411115,Software Engineer,Starlite Basic,White Collar,00883302227
0.002,14614,653220,0.0,0.0,0.0,99.87,11,B,Urban,28500,1,Sean Fernandez,64,221635,Farmer,MaxBupa Silver,Blue Collar,04380105756
0.748,16796,66150,0.0,0.0,1.0,99.89,5,A,Rural,3300,1,Katherine Farmer,38,335674,Teacher,MaxBupa Gold,White Collar,06632800810
0.009,19353,261390,0.0,0.0,0.0,99.84,8,A,Rural,20100,1,Joshua Davis,42,188955,Nurse,Starlite Premium,Other,05535504180
0.044,23734,276070,0.0,0.0,0.0,99.89,5,B,Urban,13800,1,Robert Turner,43,425866,Software Engineer,Starlite Basic,White Collar,01895009000
0.0,30305,315140,0.0,0.0,0.0,,10,A,Urban,20100,1,Eric Jacobs,27,328740,Software Engineer,MaxBupa Gold,White Collar,09171005438
0.049,14980,300040,0.0,0.0,0.0,98.59,19,A,Rural,15900,1,Dean Stevens,37,314596,Nurse,Starlite Basic,Other,10203207533
0.046,20082,362600,0.0,0.0,0.0,99.3,10,B,Urban,13800,1,Joshua Fox,26,215610,Driver,MaxBupa Silver,Blue Collar,05720806369
1.0,32135,250090,0.0,0.0,0.0,99.29,4,A,Urban,13800,1,Mark Smith,37,200302,Construction Worker,Starlite Basic,Blue Collar,03180808416
0.547,30675,138800,2.0,0.0,0.0,98.55,9,A,Urban,9600,1,Victoria Carter,24,215075,Lawyer,Starlite Basic,Other,10223001477
0.506,10592,90070,0.0,0.0,0.0,99.11,12,C,Rural,7500,1,Jacqueline Mason,39,377340,Teacher,MaxBupa Silver,White Collar,09610801790
0.018,29939,127160,0.0,0.0,0.0,99.76,8,A,Urban,7500,1,Anna Young,16,21465,Student,Starlite Premium,White Collar,09127802008
0.049,28485,374530,2.0,0.0,0.0,99.47,7,A,Urban,3300,1,Andre Nixon,61,314412,Nurse,MaxBupa Gold,Other,08191400682
0.0,24469,165150,0.0,0.0,0.0,,5,B,Urban,11700,1,Nathan Adams,30,345243,Shopkeeper,Starlite Basic,Other,07902102816
0.099,32129,120100,0.0,0.0,0.0,99.88,4,A,Urban,5400,1,Kathryn Pierce,47,269469,Teacher,MaxBupa Gold,White Collar,04227109431
0.026,36870,50050,0.0,0.0,0.0,99.87,7,A,Rural,5700,1,Diana Thompson,52,303654,Driver,MaxBupa Gold,Blue Collar,04834803774
0.1,16065,93840,0.0,0.0,0.0,98.95,7,A,Urban,7500,1,Amber Ferrell,55,330034,Software Engineer,Starlite Premium,White Collar,08704306495
0.016,31762,109600,0.0,0.0,0.0,99.89,8,A,Urban,7500,0,Sean Rojas,30,183964,Driver,Starlite Basic,Blue Collar,04476608878
0.112,14612,144470,0.0,0.0,1.0,98.85,24,B,Rural,9600,1,Jeremy Hall,58,370547,Software Engineer,MaxBupa Silver,White Collar,01763307361
0.338,14610,537550,1.0,0.0,0.0,99.37,9,D,Urban,28500,1,Erin Ryan,48,365166,Shopkeeper,Starlite Basic,Other,08283908366
0.249,19724,243190,0.0,0.0,0.0,99.04,11,C,Urban,13800,1,John Ward,54,691998,Software Engineer,Starlite Basic,White Collar,00023107474
0.122,16802,57330,0.0,0.0,0.0,99.16,8,D,Urban,1200,1,James Lee,39,241944,Nurse,Starlite Basic,Other,10284500046
0.031,21544,77380,0.0,0.0,0.0,99.67,9,D,Rural,1200,1,Brandon Marshall,38,185932,Driver,Starlite Basic,Blue Collar,10903900030
0.227,10596,84130,1.0,0.0,0.0,99.46,12,A,Urban,3300,1,Sarah Jensen,23,357107,Teacher,Starlite Premium,White Collar,06533408250
0.961,13520,195030,0.0,0.0,0.0,99.08,6,C,Urban,13800,1,Brett Garza,49,319691,Teacher,Starlite Basic,White Collar,09844406935
0.054,24467,95620,0.0,0.0,0.0,99.56,14,A,Urban,5700,1,Stephen House,44,343609,Nurse,MaxBupa Silver,Other,03362901468
0.011,18630,225360,0.0,0.0,0.0,98.69,11,C,Urban,26400,1,Valerie Perry,26,269012,Lawyer,Starlite Premium,Other,05125201665
0.006,32135,292940,0.0,0.0,0.0,,10,A,Rural,26400,1,Amanda Clayton DVM,35,431365,Software Engineer,MaxBupa Gold,White Collar,07018301416
0.066,24469,130100,1.0,0.0,0.0,99.67,15,A,Rural,11700,1,Darlene Mcintosh,16,24909,Student,Starlite Premium,White Collar,00238506480
0.824,10599,125070,1.0,0.0,0.0,99.57,5,A,Urban,9600,1,Shelby Smith,20,288454,Shopkeeper,MaxBupa Silver,Other,07516604852
0.031,26653,80880,0.0,0.0,0.0,99.7,18,A,Urban,5400,1,Kathleen Pratt,43,322209,Shopkeeper,MaxBupa Silver,Other,02472402470
0.068,31402,315060,0.0,0.0,0.0,99.88,15,A,Rural,30600,1,Ryan Oconnell,34,307917,Software Engineer,Starlite Basic,White Collar,00436204373
0.163,10598,165110,0.0,0.0,0.0,99.27,10,A,Rural,7500,1,Kristen Rogers,38,635192,Software Engineer,MaxBupa Gold,White Collar,00548608524
0.0,14976,390090,0.0,0.0,0.0,99.57,12,C,Urban,5400,1,Michael Terrell,37,372989,Teacher,Starlite Basic,White Collar,11401200429
0.003,36874,86570,2.0,0.0,0.0,,8,A,Rural,7500,0,Dr. Emma Gutierrez,36,273870,Teacher,MaxBupa Silver,White Collar,04417505244
0.402,21914,171130,1.0,0.0,3.0,99.07,7,A,Urban,7500,0,Lori Lee,23,368356,Lawyer,Starlite Basic,Other,09954302119
0.067,21549,167620,0.0,0.0,0.0,99.34,7,A,Urban,11700,1,Kathleen Luna,47,373791,Nurse,MaxBupa Silver,Other,06961300385
0.027,20454,371580,0.0,0.0,0.0,99.55,10,A,Urban,22200,1,Jennifer Hill,47,609182,Software Engineer,Starlite Basic,White Collar,06202901945
0.244,16798,51750,0.0,0.0,0.0,99.6,15,A,Urban,1200,1,Benjamin Smith,52,556542,Doctor,Starlite Premium,White Collar,11030104224
0.913,10959,73260,0.0,1.0,0.0,99.64,5,B,Urban,3300,1,Terri Love,65,326240,Construction Worker,MaxBupa Silver,Blue Collar,06680300473
0.881,18627,294030,1.0,0.0,1.0,99.82,7,A,Rural,7500,1,Laura Scott,65,297818,Driver,Starlite Premium,Blue Collar,00339602129
0.057,24464,122530,0.0,0.0,0.0,99.19,9,B,Urban,5400,1,Jessica Robles,29,361174,Software Engineer,Starlite Basic,White Collar,00343406556
0.009,35784,28550,1.0,0.0,0.0,98.44,10,A,Urban,5700,1,Lori Rowe,56,215227,Driver,MaxBupa Silver,Blue Collar,10080306998
0.133,21913,161220,0.0,0.0,0.0,99.37,10,C,Rural,11700,1,Jennifer Miller,42,636565,Software Engineer,Starlite Premium,White Collar,08971901055
0.921,10235,195070,1.0,0.0,0.0,99.43,8,A,Urban,11700,1,Christopher Hall,32,130247,Farmer,MaxBupa Silver,Blue Collar,03849903274
0.017,30665,178240,0.0,0.0,0.0,99.87,22,A,Rural,7500,1,Jill Morrison,21,14992,Student,MaxBupa Silver,White Collar,05700604961
0.108,10234,103540,0.0,0.0,0.0,99.43,9,A,Rural,11700,1,Michael Huff,56,378249,Software Engineer,Starlite Premium,White Collar,06124705363
0.66,16431,234830,0.0,0.0,0.0,98.61,20,D,Urban,28500,1,Christina Reynolds,41,424538,Teacher,Starlite Basic,White Collar,07758505816
0.041,31770,57050,0.0,0.0,0.0,99.85,10,A,Rural,3300,1,Allison Walker,33,241613,Driver,Starlite Basic,Blue Collar,02896200811
0.025,23375,212860,0.0,0.0,0.0,99.58,10,B,Urban,1200,1,Maria Stephens,47,228189,Farmer,Starlite Basic,Blue Collar,00077504573
0.014,30673,180040,0.0,0.0,0.0,98.56,13,A,Urban,11700,1,Mrs. Jacqueline Perez DDS,64,194225,Shopkeeper,Starlite Premium,Other,03073806137
0.685,16802,143580,0.0,0.0,0.0,99.05,8,D,Urban,11700,1,Barbara Parker,49,259448,Teacher,Starlite Basic,White Collar,00151602388
1.0,8038,48080,0.0,0.0,0.0,99.36,3,A,Urban,1200,0,Kimberly Hampton,30,291149,Teacher,MaxBupa Gold,White Collar,06150609648
0.104,29936,1020110,0.0,0.0,0.0,,5,A,Urban,57900,1,Sandra Carter,55,224101,Teacher,MaxBupa Gold,White Collar,02956406225
1.0,18627,254660,0.0,0.0,0.0,97.31,13,B,Urban,3300,1,Lisa Juarez,20,140861,Farmer,Starlite Basic,Blue Collar,06697800111
1.0,37602,48130,0.0,0.0,0.0,,5,A,Rural,1200,1,David Butler,23,11897,Student,Starlite Basic,White Collar,11131908909
0.021,33950,140110,0.0,0.0,0.0,98.95,10,A,Urban,9600,1,Caroline Guerrero,39,986398,Doctor,Starlite Premium,White Collar,10940301745
0.043,27754,69090,0.0,0.0,0.0,99.1,7,A,Rural,3300,1,John Evans,55,307151,Construction Worker,Starlite Basic,Blue Collar,03696307851
0.448,29212,180780,0.0,0.0,0.0,99.51,8,A,Urban,11700,1,Stephen Yang,28,358151,Shopkeeper,Starlite Basic,Other,01002601452
0.593,12785,60070,0.0,0.0,0.0,94.65,14,A,Rural,1200,1,David Burke,25,360223,Teacher,Starlite Basic,White Collar,04431100319
0.807,16805,226550,1.0,3.0,0.0,99.5,6,B,Urban,11700,1,Steven Reyes,57,332298,Software Engineer,MaxBupa Silver,White Collar,09940508593
0.131,16431,156840,0.0,0.0,0.0,99.87,5,B,Rural,11700,1,Maureen Smith,52,690254,Software Engineer,Starlite Premium,White Collar,05094603333
0.162,30667,73200,0.0,0.0,0.0,99.16,8,A,Rural,3300,1,Scott Adams,29,278690,Driver,Starlite Basic,Blue Collar,02559301922
0.065,24462,242290,0.0,0.0,0.0,99.14,18,A,Rural,20100,1,Joshua Velez,20,343068,Nurse,Starlite Basic,Other,06519905865
0.325,12051,180130,0.0,0.0,0.0,99.45,6,A,Urban,22200,1,Melissa Goodwin,43,319536,Lawyer,MaxBupa Silver,Other,06651909528
0.488,16795,168950,0.0,0.0,0.0,99.63,12,A,Urban,9600,1,Kathy Massey,60,217465,Driver,Starlite Premium,Blue Collar,05262703685
0.092,27749,63330,0.0,0.0,0.0,99.14,5,A,Rural,5400,1,Alexander Mueller,29,184202,Construction Worker,MaxBupa Gold,Blue Collar,07006104275
1.0,10594,81680,0.0,0.0,1.0,99.39,5,C,Urban,1200,0,Darin Larson,65,328683,Driver,Starlite Basic,Blue Collar,05599104889
0.0,16795,315060,0.0,0.0,0.0,99.11,6,A,Urban,9600,1,Adam Clark,51,572114,Software Engineer,MaxBupa Silver,White Collar,08990405225
0.0,16438,177140,0.0,0.0,1.0,99.41,8,D,Rural,3300,1,Daniel Smith,43,295792,Nurse,Starlite Basic,Other,01214407472
0.009,31761,62530,0.0,0.0,0.0,99.89,4,A,Urban,3300,1,Michael Davis,39,267424,Driver,MaxBupa Silver,Blue Collar,04283103605
0.457,27025,110930,0.0,0.0,0.0,98.65,16,B,Rural,5400,1,Krystal Williams,45,304628,Lawyer,MaxBupa Gold,Other,08982901052
0.039,14975,150050,0.0,0.0,1.0,99.79,7,A,Rural,13800,1,Kristin Howell,64,152378,Nurse,MaxBupa Gold,Other,00422304156
0.097,31767,240110,0.0,0.0,0.0,99.67,10,A,Rural,11700,1,Anthony Mercado,42,341883,Teacher,Starlite Basic,White Collar,07625609676
0.008,10225,150140,0.0,0.0,0.0,98.57,7,C,Urban,11700,1,Debra Terrell,25,634047,Doctor,Starlite Basic,White Collar,08226700099
0.016,32130,135090,0.0,0.0,0.0,99.88,14,A,Rural,3300,1,Darren Tanner,57,433885,Teacher,Starlite Basic,White Collar,01376407508
0.014,30667,54070,0.0,0.0,0.0,99.88,6,A,Urban,1200,1,Ashley Green,35,459486,Teacher,Starlite Premium,White Collar,02223201456
0.594,13151,295590,0.0,0.0,0.0,99.25,10,C,Urban,18000,1,Jackie Gray,60,313872,Software Engineer,Starlite Premium,White Collar,03901707688
0.049,31035,200040,0.0,0.0,0.0,99.88,6,A,Urban,9600,1,Jessica Watkins,54,190801,Nurse,MaxBupa Gold,Other,10440604004
0.019,30672,59450,0.0,0.0,0.0,99.89,6,A,Urban,3300,1,Nicole Benton,18,209457,Farmer,MaxBupa Silver,Blue Collar,06360206866
0.128,21545,160630,0.0,0.0,0.0,98.86,23,A,Urban,3300,1,Angela Bridges,31,310116,Construction Worker,MaxBupa Silver,Blue Collar,06179604509
0.86,10958,77850,0.0,0.0,0.0,96.58,10,C,Urban,5400,0,Carolyn Simpson,59,371776,Teacher,Starlite Basic,White Collar,10847403299
0.727,23735,260520,0.0,0.0,0.0,99.36,12,A,Rural,11700,1,Kathryn Vance,32,164427,Driver,Starlite Basic,Blue Collar,06491403799
0.034,23733,165130,0.0,0.0,0.0,99.89,4,A,Rural,13800,1,Jennifer Myers,53,162362,Construction Worker,Starlite Basic,Blue Collar,03911604281
0.0,32130,114360,0.0,0.0,0.0,,3,A,Urban,7500,1,Craig Kerr,24,638055,Software Engineer,MaxBupa Silver,White Collar,06032209051
0.006,29205,78150,0.0,0.0,0.0,,4,A,Urban,3300,1,Paul King,64,258206,Nurse,MaxBupa Silver,Other,04559606462
0.017,31760,114110,0.0,0.0,0.0,98.73,8,A,Urban,7500,1,Robert Hamilton,29,178794,Lawyer,MaxBupa Gold,Other,10493407912
0.0,24470,398630,0.0,0.0,0.0,98.69,14,B,Rural,22200,1,Dr. Amy Welch DVM,37,180176,Driver,Starlite Basic,Blue Collar,05874601414
0.535,24464,204150,0.0,0.0,0.0,98.68,14,D,Urban,5400,1,Thomas Simmons,49,377617,Shopkeeper,MaxBupa Gold,Other,05932600540
0.952,20086,397540,4.0,0.0,1.0,99.06,14,B,Urban,20100,1,Jeffrey Walker,43,224113,Teacher,Starlite Basic,White Collar,02353405815
0.192,16798,282040,0.0,0.0,0.0,99.31,14,A,Rural,13800,1,Jose Kennedy,26,340792,Teacher,MaxBupa Gold,White Collar,07621808199
0.076,14609,205060,0.0,0.0,0.0,99.88,6,D,Rural,26400,1,Paul Ho,54,315246,Construction Worker,Starlite Basic,Blue Collar,02880203680
1.0,37602,48130,0.0,0.0,0.0,,5,A,Rural,1200,1,Charles Weiss,37,833399,Doctor,Starlite Basic,White Collar,11131900754
0.0,20090,118890,0.0,0.0,0.0,98.45,6,B,Urban,13800,1,Ashley Howard,27,243859,Farmer,MaxBupa Gold,Blue Collar,08820904196
0.009,26656,112540,0.0,0.0,0.0,98.01,42,B,Rural,7500,1,Ashley Walters,34,226907,Lawyer,MaxBupa Silver,Other,04496402650
0.001,16804,300750,0.0,0.0,0.0,99.31,23,B,Urban,13800,1,Jeffrey Davis IV,50,327200,Driver,MaxBupa Silver,Blue Collar,01217404522
0.043,32127,90120,0.0,0.0,0.0,99.11,5,A,Urban,5400,1,Jacob Reid,30,303628,Software Engineer,MaxBupa Gold,White Collar,08985609519
0.0,10230,147150,0.0,0.0,0.0,98.65,10,B,Urban,11700,1,William Garcia,55,227504,Teacher,Starlite Basic,White Collar,02923303118
0.005,20085,83530,0.0,0.0,0.0,98.86,7,A,Rural,7500,1,Gregory Flynn,44,336922,Software Engineer,Starlite Premium,White Collar,06913903728
0.101,31767,250140,0.0,0.0,0.0,,4,A,Rural,9600,1,Susan Martinez,24,103718,Farmer,Starlite Premium,Blue Collar,02029003886
0.185,20089,345100,0.0,0.0,0.0,99.48,11,D,Rural,7500,1,Corey Watkins,48,258777,Nurse,Starlite Basic,Other,10980907107
0.642,16804,112760,0.0,0.0,0.0,99.36,16,B,Urban,7500,1,Kevin Baird,35,304061,Lawyer,Starlite Basic,Other,00432308068
1.0,24460,510130,0.0,0.0,0.0,99.01,11,A,Urban,13800,1,Kelly Henderson,53,260614,Construction Worker,MaxBupa Silver,Blue Collar,09549407325
0.14,20454,152600,0.0,0.0,0.0,98.63,16,B,Rural,9600,1,Frank Cruz,48,508156,Doctor,MaxBupa Gold,White Collar,04463608483
0.008,31766,92040,0.0,0.0,0.0,99.89,8,A,Urban,7500,1,Julie Jackson,21,644581,Software Engineer,Starlite Basic,White Collar,10162808767
0.01,23734,410120,0.0,0.0,0.0,,9,B,Rural,53700,1,Sheila Lewis,27,235083,Teacher,MaxBupa Silver,White Collar,10027306500
0.0,23366,75080,0.0,0.0,0.0,98.15,10,A,Rural,5400,1,Ronald Montgomery,21,17857,Student,Starlite Basic,White Collar,01705708426
0.622,29576,225140,0.0,0.0,0.0,98.94,12,A,Rural,13800,1,Laura Allison,24,335504,Lawyer,MaxBupa Gold,Other,01483707963
0.0,10226,175090,0.0,0.0,0.0,99.68,10,A,Urban,9600,1,Nichole Smith,42,320472,Shopkeeper,Starlite Premium,Other,01589000601
0.009,31763,116540,0.0,0.0,0.0,99.89,11,A,Urban,7500,1,Amber Weber,52,406316,Teacher,Starlite Basic,White Collar,05800309249
0.148,11688,91590,5.0,0.0,2.0,99.31,16,A,Urban,3300,1,Samantha Blanchard,58,303999,Teacher,Starlite Basic,White Collar,09916408919
0.334,16805,252110,0.0,0.0,0.0,98.83,17,B,Urban,13800,1,John Horne,59,211085,Teacher,Starlite Basic,White Collar,03747406814
0.023,10231,176950,1.0,0.0,0.0,99.56,14,A,Urban,9600,1,Holly Miranda,47,262939,Driver,Starlite Basic,Blue Collar,02608505411
0.524,18628,127440,0.0,0.0,0.0,97.44,18,B,Urban,7500,1,Robert Gardner,47,238372,Farmer,MaxBupa Gold,Blue Collar,09456408747
1.0,10591,78110,0.0,0.0,0.0,,2,B,Urban,3300,1,Corey Hernandez,32,573484,Software Engineer,MaxBupa Silver,White Collar,00818005522
0.012,26650,142570,0.0,0.0,0.0,99.48,5,A,Rural,13800,1,Elizabeth Hill,24,473580,Software Engineer,Starlite Premium,White Collar,08649401044
0.0,31398,264120,0.0,0.0,0.0,99.74,10,A,Urban,20100,1,Carl Vang,48,629324,Software Engineer,MaxBupa Silver,White Collar,04845007334
0.043,27019,159060,0.0,0.0,0.0,99.05,20,B,Urban,3300,1,Ashley Hernandez,53,339221,Driver,Starlite Basic,Blue Collar,05003901557
0.901,10593,156090,0.0,0.0,0.0,99.68,7,A,Urban,7500,1,Melissa Wall,37,198492,Shopkeeper,Starlite Basic,Other,00887503739
0.792,18624,231030,0.0,1.0,0.0,99.48,9,C,Urban,1200,1,Lindsey White,49,329711,Teacher,Starlite Basic,White Collar,08881703522
0.022,34320,42120,0.0,0.0,0.0,97.93,9,A,Urban,3300,1,Michael Diaz,33,695431,Software Engineer,Starlite Basic,White Collar,00698800180
